Pecha ID,Download Link,Non Word Ratio
PEDEC44EC,https://github.com/OpenPecha/PEDEC44EC/archive/refs/heads/botok.zip,0.08
PCF5BC8F9,https://github.com/OpenPecha/PCF5BC8F9/archive/refs/heads/botok.zip,0.1
PFF101AF0,https://github.com/OpenPecha/PFF101AF0/archive/refs/heads/botok.zip,0.11
P6E4E79B4,https://github.com/OpenPecha/P6E4E79B4/archive/refs/heads/botok.zip,0.08
PE34E2A4E,https://github.com/OpenPecha/PE34E2A4E/archive/refs/heads/botok.zip,0.08
P5C2F143B,https://github.com/OpenPecha/P5C2F143B/archive/refs/heads/botok.zip,0.08
P1639B1BF,https://github.com/OpenPecha/P1639B1BF/archive/refs/heads/botok.zip,0.1
PBC60C999,https://github.com/OpenPecha/PBC60C999/archive/refs/heads/botok.zip,0.1
PB55F699D,https://github.com/OpenPecha/PB55F699D/archive/refs/heads/botok.zip,0.09
P87AE4906,https://github.com/OpenPecha/P87AE4906/archive/refs/heads/botok.zip,0.04
P97276222,https://github.com/OpenPecha/P97276222/archive/refs/heads/botok.zip,0.12
P0881EB8A,https://github.com/OpenPecha/P0881EB8A/archive/refs/heads/botok.zip,0.06
PBD7D4656,https://github.com/OpenPecha/PBD7D4656/archive/refs/heads/botok.zip,0.11
P7445551F,https://github.com/OpenPecha/P7445551F/archive/refs/heads/botok.zip,0.09
P84E34897,https://github.com/OpenPecha/P84E34897/archive/refs/heads/botok.zip,0.13
P3BB5B2BA,https://github.com/OpenPecha/P3BB5B2BA/archive/refs/heads/botok.zip,0.11
P6DB58D3A,https://github.com/OpenPecha/P6DB58D3A/archive/refs/heads/botok.zip,0.08
P0D4D7134,https://github.com/OpenPecha/P0D4D7134/archive/refs/heads/botok.zip,0.08
P39B5079F,https://github.com/OpenPecha/P39B5079F/archive/refs/heads/botok.zip,0.09
PDCFFD598,https://github.com/OpenPecha/PDCFFD598/archive/refs/heads/botok.zip,0.16
PEB41AFD6,https://github.com/OpenPecha/PEB41AFD6/archive/refs/heads/botok.zip,0.06
P1AD584AC,https://github.com/OpenPecha/P1AD584AC/archive/refs/heads/botok.zip,0.08
P9251201B,https://github.com/OpenPecha/P9251201B/archive/refs/heads/botok.zip,0.13
P84A8E91D,https://github.com/OpenPecha/P84A8E91D/archive/refs/heads/botok.zip,0.07
P72E45B21,https://github.com/OpenPecha/P72E45B21/archive/refs/heads/botok.zip,0.13
P7B36D315,https://github.com/OpenPecha/P7B36D315/archive/refs/heads/botok.zip,0.09
P3AE05A34,https://github.com/OpenPecha/P3AE05A34/archive/refs/heads/botok.zip,0.09
PD74B642B,https://github.com/OpenPecha/PD74B642B/archive/refs/heads/botok.zip,0.15
P52AC2912,https://github.com/OpenPecha/P52AC2912/archive/refs/heads/botok.zip,0.06
PE996E0A3,https://github.com/OpenPecha/PE996E0A3/archive/refs/heads/botok.zip,0.1
PA061E4FE,https://github.com/OpenPecha/PA061E4FE/archive/refs/heads/botok.zip,0.08
P2BC96978,https://github.com/OpenPecha/P2BC96978/archive/refs/heads/botok.zip,0.07
PDAD277B5,https://github.com/OpenPecha/PDAD277B5/archive/refs/heads/botok.zip,0.09
P01FC92F9,https://github.com/OpenPecha/P01FC92F9/archive/refs/heads/botok.zip,0.1
PD7D5095D,https://github.com/OpenPecha/PD7D5095D/archive/refs/heads/botok.zip,0.1
PA9A647C7,https://github.com/OpenPecha/PA9A647C7/archive/refs/heads/botok.zip,0.09
P4FFDD2DA,https://github.com/OpenPecha/P4FFDD2DA/archive/refs/heads/botok.zip,0.06
